SampleID	simpsons_dominance
sample-1	0.9988791395214730
sample-10	0.9990219043103160
sample-11	0.9991288742029030
sample-12	0.9984924619894080
sample-2	0.9989726546596290
sample-3	0.9991475050975410
sample-4	0.9990433468810410
sample-5	0.9990696458401380
sample-6	0.9990456156713830
sample-7	0.9987870547692390
sample-8	0.9989367999672620
sample-9	0.9989133388057120
sample-13	0.999331600458638
sample-14	0.9993038423492440
sample-15	0.9992843581604060
sample-16	0.999271024140562
sample-17	0.999338392642515
sample-18	0.9994040181781230
sample-19	0.9993581554363250
sample-20	0.9991658561021030
sample-21	0.9991234298050080
sample-22	0.9992357009600340
sample-23	0.9993325312988920
sample-24	0.9992809737603550