SampleID	plot	row	treatment	shannon	simpson	buffer	phosphorous	pH	year	simpsons_dominance	simpson_e	pielou_evenness	shannon_entropy	Kingdom
sample-1	Low	6.5	Control	NA	NA	NA	NA	-0.435	2023	0.998879139521473	0.316551071600147	0.929004985135526	10.6370064216032	Bacteria
sample-2	Low	14.5	Control	NA	NA	NA	NA	-0.43	2023	0.998972654659629	0.272535717487591	0.925557294820114	10.8993566984783	Bacteria
sample-3	Low	22.5	Control	NA	NA	NA	NA	-0.725	2023	0.999147505097541	0.279573258276333	0.928092128203791	11.1666905797892	Bacteria
sample-4	Low	2.5	Treatment	NA	NA	NA	NA	-0.59	2023	0.999043346881041	0.263548446593976	0.926825883520937	11.057494130646	Bacteria
sample-5	Low	10.5	Treatment	NA	NA	NA	NA	-0.355	2023	0.999069645840138	0.27147486014245	0.925725571690126	11.0616359132401	Bacteria
sample-6	Low	18.5	Treatment	NA	NA	NA	NA	-0.345	2023	0.999045615671383	0.225964319055599	0.920361495656655	11.2070275418653	Bacteria
sample-7	Up	9.5	Control	NA	NA	NA	NA	-0.575	2023	0.998787054769239	0.327140482361378	0.932002484505423	10.5095578451783	Bacteria
sample-8	Up	25.5	Control	NA	NA	NA	NA	-0.4	2023	0.998936799967262	0.299987775756263	0.929402488225507	10.7774002236268	Bacteria
sample-9	Up	33.5	Control	NA	NA	NA	NA	-0.53	2023	0.998913338805712	0.305573129110444	0.927657604567308	10.7128072545174	Bacteria
sample-10	Up	30.5	Treatment	NA	NA	NA	NA	-0.565	2023	0.999021904310316	0.269939796031667	0.925942569493755	10.9979560639049	Bacteria
sample-11	Up	37.5	Treatment	NA	NA	NA	NA	0.005	2023	0.999128874202903	0.252175338575493	0.922707705069546	11.2116755152399	Bacteria
sample-12	Up	45.5	Treatment	NA	NA	NA	NA	-0.79	2023	0.998492461989408	0.231139258001393	0.923377196984288	10.5837815460511	Bacteria
sample-13	Low	2.5	Treatment	1.5648299	4.199913	1.4	2	-1.015	2024	0.999331600458638	0.0625020053163322	0.866753707943893	12.6180836627706	Bacteria
sample-14	Low	6.5	Control	1.3968619	3.090672	1.9	4	0.18	2024	0.999303842349244	0.0965802142288927	0.885140770207572	12.2599331938274	Bacteria
sample-15	Low	10.5	Treatment	1.1286043	2.803272	1.4	3	-0.2	2024	0.999284358160406	0.0609687371756171	0.867673135810912	12.5705009370071	Bacteria
sample-16	Low	14.5	Control	1.1026124	2.477097	2.1	6	-0.01	2024	0.999271024140562	0.0607030848665296	0.861433675082748	12.4699436109661	Bacteria
sample-17	Low	18.5	Treatment	0.9530362	2.203297	1.1	12	1.485	2024	0.999338392642515	0.0715562524029405	0.870194048100662	12.5068161879411	Bacteria
sample-18	Low	22.5	Control	0.4840031	1.398409	2.3	12	0.01	2024	0.999404018178123	0.0768906610350282	0.875495929844047	12.6177514905533	Bacteria
sample-19	Up	9.5	Control	1.0557363	2.094034	1	16	0.025	2024	0.999358155436325	0.0491252680127557	0.854390170854703	12.7845463840642	Bacteria
sample-20	Up	25.5	Control	1.2173955	2.492629	0.8	21	-0.25	2024	0.999165856102103	0.0544096407674834	0.863990825104563	12.473900792535	Bacteria
sample-21	Up	30.5	Treatment	1.315645	2.692621	0.7	23	-0.15	2024	0.999123429805008	0.0523177202341121	0.860396594408666	12.4110976410936	Bacteria
sample-22	Up	33.5	Control	1.1761598	2.588429	0.9	19	0	2024	0.999235700960034	0.0597830289771754	0.854905631425903	12.3296186886748	Bacteria
sample-23	Up	37.5	Treatment	1.0455898	2.310619	1	21	0	2024	0.999332531298892	0.0620193382862686	0.863340366155487	12.5809061505221	Bacteria
sample-24	Up	45.5	Treatment	1.1818584	2.282187	1	35	-0.025	2024	0.999280973760355	0.062280023578584	0.865533464538117	12.5087480875628	Bacteria
sample-1	Low	6.5	Control	NA	NA	NA	NA	-0.435	2023	0.979046081399415	0.0577677216657372	0.712260847303115	6.94538401730429	Fungi
sample-2	Low	14.5	Control	NA	NA	NA	NA	-0.43	2023	0.987259774825491	0.0665941804778417	0.74635608334558	7.65233832357882	Fungi
sample-3	Low	22.5	Control	NA	NA	NA	NA	-0.725	2023	0.985877759877685	0.0620951260722466	0.745523370565433	7.58376277395789	Fungi
sample-4	Low	2.5	Treatment	NA	NA	NA	NA	-0.59	2023	0.981850761585482	0.0483456216744326	0.706430510676407	7.18582465795871	Fungi
sample-5	Low	10.5	Treatment	NA	NA	NA	NA	-0.355	2023	0.966310068857709	0.0321953840140976	0.683279993849039	6.73573471986758	Fungi
sample-6	Low	18.5	Treatment	NA	NA	NA	NA	-0.345	2023	0.97619646345449	0.0404578402524108	0.690298814123468	6.94347554622082	Fungi
sample-7	Up	9.5	Control	NA	NA	NA	NA	-0.575	2023	0.96714555475701	0.0446763371383117	0.702644707178338	6.61540596702526	Fungi
sample-8	Up	25.5	Control	NA	NA	NA	NA	-0.4	2023	0.975995743891498	0.0556873805057086	0.72087961870331	6.90150103163352	Fungi
sample-9	Up	33.5	Control	NA	NA	NA	NA	-0.53	2023	0.974189160958169	0.043403432389313	0.71757082866205	7.04399969195859	Fungi
sample-10	Up	30.5	Treatment	NA	NA	NA	NA	-0.565	2023	0.972615271316481	0.0455213750962256	0.703928536643051	6.81683298121357	Fungi
sample-11	Up	37.5	Treatment	NA	NA	NA	NA	0.005	2023	0.972005092697134	0.04521204452781	0.696311746743761	6.70486262306201	Fungi
sample-12	Up	45.5	Treatment	NA	NA	NA	NA	-0.79	2023	0.950357217750565	0.0283415175934017	0.635824700361893	6.05663802630586	Fungi
sample-13	Low	2.5	Treatment	1.5648299	4.199913	1.4	2	-1.015	2024	0.948772099579943	0.0311051319893233	0.640298720323048	5.95233398613381	Fungi
sample-14	Low	6.5	Control	1.3968619	3.090672	1.9	4	0.18	2024	0.965580668208635	0.025586907847286	0.654065588587572	6.63897410434059	Fungi
sample-15	Low	10.5	Treatment	1.1286043	2.803272	1.4	3	-0.2	2024	0.937776832401467	0.0154822066503443	0.600508785672881	6.02456940366886	Fungi
sample-16	Low	14.5	Control	1.1026124	2.477097	2.1	6	-0.01	2024	0.938705221624332	0.0188746181009334	0.60227619255355	5.87632956348042	Fungi
sample-17	Low	18.5	Treatment	0.9530362	2.203297	1.1	12	1.485	2024	0.937452449518057	0.0188250860052784	0.583382525655572	5.67674151571496	Fungi
sample-18	Low	22.5	Control	0.4840031	1.398409	2.3	12	0.01	2024	0.972240053400437	0.03136456512619	0.675852444910363	6.86555822998187	Fungi
sample-19	Up	9.5	Control	1.0557363	2.094034	1	16	0.025	2024	0.468848775842643	0.0028305297292031	0.249597382180643	2.34467180862883	Fungi
sample-20	Up	25.5	Control	1.2173955	2.492629	0.8	21	-0.25	2024	0.384756548011422	0.00424859543145625	0.188889502448945	1.62690423912302	Fungi
sample-21	Up	30.5	Treatment	1.315645	2.692621	0.7	23	-0.15	2024	0.940166220833127	0.0175090115236748	0.597605114942245	5.91975170705737	Fungi
sample-22	Up	33.5	Control	1.1761598	2.588429	0.9	19	0	2024	0.833987535765546	0.0092472788919104	0.456170300141234	4.27159704229464	Fungi
sample-23	Up	37.5	Treatment	1.0455898	2.310619	1	21	0	2024	0.920017486763218	0.014781173303939	0.550220158422014	5.34896319982532	Fungi
sample-24	Up	45.5	Treatment	1.1818584	2.282187	1	35	-0.025	2024	0.963667002490154	0.0252305930243587	0.64848441261202	6.54519558318548	Fungi