Time,Row,pH,Plot,Treatment,Date
1,2.5,8.37,Low,Treatment,July 2023
1,6.5,8.385,Low,Control,July 2023
1,9.5,8.385,Up,Control,July 2023
1,10.5,,Low,Treatment,July 2023
1,14.5,8.445,Low,Control,July 2023
1,18.5,8.21,Low,Treatment,July 2023
1,22.5,8.305,Low,Control,July 2023
1,25.5,8.42,Up,Control,July 2023
1,30.5,7.885,Up,Treatment,July 2023
1,33.5,8.345,Up,Control,July 2023
1,37.5,8.56,Up,Treatment,July 2023
1,45.5,8.24,Up,Treatment,July 2023
2,2.5,8.475,Low,Treatment,August 2023
2,6.5,8.42,Low,Control,August 2023
2,9.5,8.38,Up,Control,August 2023
2,10.5,8.095,Low,Treatment,August 2023
2,14.5,,Low,Control,August 2023
2,18.5,8.065,Low,Treatment,August 2023
2,22.5,8.62,Low,Control,August 2023
2,25.5,8.525,Up,Control,August 2023
2,30.5,8.37,Up,Treatment,August 2023
2,33.5,8.505,Up,Control,August 2023
2,37.5,8.365,Up,Treatment,August 2023
2,45.5,7.985,Up,Treatment,August 2023
3,2.5,8.4,Low,Treatment,October 2023
3,6.5,8.85,Low,Control,October 2023
3,9.5,7.96,Up,Control,October 2023
3,10.5,8.65,Low,Treatment,October 2023
3,14.5,8.185,Low,Control,October 2023
3,18.5,7.18,Low,Treatment,October 2023
3,22.5,8.65,Low,Control,October 2023
3,25.5,7.82,Up,Control,October 2023
3,30.5,8.45,Up,Treatment,October 2023
3,33.5,9.06,Up,Control,October 2023
3,37.5,8.565,Up,Treatment,October 2023
3,45.5,8.74,Up,Treatment,October 2023
4,2.5,8.96,Low,Treatment,November 2023
4,6.5,8.885,Low,Control,November 2023
4,9.5,8.96,Up,Control,November 2023
4,10.5,8.72,Low,Treatment,November 2023
4,14.5,8.875,Low,Control,November 2023
4,18.5,8.555,Low,Treatment,November 2023
4,22.5,9.03,Low,Control,November 2023
4,25.5,8.82,Up,Control,November 2023
4,30.5,,Up,Treatment,November 2023
4,33.5,8.875,Up,Control,November 2023
4,37.5,8.555,Up,Treatment,November 2023
4,45.5,9.03,Up,Treatment,November 2023
5,2.5,7.525,Low,Treatment,July 2024
5,6.5,8.69,Low,Control,July 2024
5,9.5,8.855,Up,Control,July 2024
5,10.5,7.71,Low,Treatment,July 2024
5,14.5,8.69,Low,Control,July 2024
5,18.5,8.25,Low,Treatment,July 2024
5,22.5,8.745,Low,Control,July 2024
5,25.5,8.635,Up,Control,July 2024
5,30.5,8.44,Up,Treatment,July 2024
5,33.5,8.84,Up,Control,July 2024
5,37.5,8.415,Up,Treatment,July 2024
5,45.5,8.575,Up,Treatment,July 2024
6,2.5,8.54,Low,Treatment,October 2024
6,6.5,8.51,Low,Control,October 2024
6,9.5,8.83,Up,Control,October 2024
6,10.5,7.91,Low,Treatment,October 2024
6,14.5,8.7,Low,Control,October 2024
6,18.5,6.765,Low,Treatment,October 2024
6,22.5,8.735,Low,Control,October 2024
6,25.5,8.885,Up,Control,October 2024
6,30.5,8.59,Up,Treatment,October 2024
6,33.5,8.84,Up,Control,October 2024
6,37.5,8.415,Up,Treatment,October 2024
6,45.5,8.6,Up,Treatment,October 2024